[18:05:43] [main/INFO]: ModLauncher running: args [--username, Jostemis, --version, forge-47.3.0, --gameDir, C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience, --assetsDir, C:\Users\befen\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 362959dda9da49b4a3135203ff9d142d, --accessToken, ????????, --clientId, NzgxNTU5NmUtNDY3Yy00OWZlLWJkMjgtZjRiNTMzZDhjNzY0, --xuid, 2535460817563007, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\befen\curseforge\minecraft\Install\quickPlay\java\1739279139908.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[18:05:43] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 11 arch amd64 version 10.0
[18:06:02] [main/INFO]: Found mod file deeperdarker-forge-1.20.1-1.3.3.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file defaultoptions-forge-1.20-18.0.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file despawn_tweaker-1.20.1-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file deuf-1.20.1-1.3.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file DiagonalFences-v8.1.5-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file disenchanting_table-merged-1.20.1-3.1.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file doespotatotick-1.20.1-4.0.2.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file dragonmounts-1.20.1-1.2.3-beta.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file Dungeon Crawl-1.20.1-2.3.15.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file DungeonsArise-1.20.x-2.1.58-release.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file dynamiclights-1.20.1.2.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file EasyMagic-v8.0.1-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file eat_an_omelette-merged-1.20.1-1.5.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file Emojiful-Forge-1.20.1-4.2.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file EnchantmentDescriptions-Forge-1.20.1-17.1.19.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file enchantwithmob-1.20.1-11.13.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file endermanoverhaul-forge-1.20.1-1.0.4.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file enderpack-merged-1.20.1-2.0.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file entity_model_features_forge_1.20.1-2.4.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file entity_texture_features_forge_1.20.1-6.2.9.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file entityculling-forge-1.7.2-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file EpheroLib-1.20.1-FORGE-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file epicpowerbracelets-forge-1.20.X-1.1.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file EquipmentCompare-1.20.1-forge-1.3.7.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file esotericreforging-1.20.1-1.0.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file EuphoriaPatcher-1.4.3-r5.3-forge.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file EWAT_3.0.0_1.20.1_forge.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file ExplorersCompass-1.20.1-1.3.3-forge.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file Fallingleaves-1.20.1-2.1.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file FallingTree-1.20.1-4.3.4.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file fancymenu_forge_3.3.2_MC_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file FarmersDelight-1.20.1-1.2.7.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file fast-ip-ping-v1.0.5-mc1.20.4-forge.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file fastasyncworldsave-1.20.1-2.3.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file forge-medievalend-1.0.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file forge-startinv-1.0.0-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file forge_wider_ender_chests-1.0.3-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file fusion-1.2.3-forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file geckolib-forge-1.20.1-4.7.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file GlitchCore-forge-1.20.1-0.0.1.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file golden_foods-merged-1.20.1-2.4.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file gpumemleakfix-1.20.1-1.8.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file Guide-API-VP-1.20.1-2.2.6.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file handcrafted-forge-1.20.1-3.0.6.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file healthy_water-merged-1.20.1-1.0.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
